Ticker,ref.date,price.adjusted,SMB,HML,RF,SP500Index
NVDA,2000/1/1,0.708314,5.77,-1.88,0.41,1394.46
NVDA,2000/2/1,1.223127,21.36,-9.59,0.43,1366.42
NVDA,2000/3/1,1.614611,-17.2,8.13,0.47,1498.58
NVDA,2000/4/1,1.7033,-6.68,7.26,0.46,1452.43
NVDA,2000/5/1,2.181084,-6.05,4.75,0.5,1420.6
NVDA,2000/6/1,2.429532,12.84,-8.42,0.4,1454.6
NVDA,2000/7/1,2.293362,-3.07,8.31,0.48,1430.83
NVDA,2000/8/1,3.033929,-0.61,-1.39,0.5,1517.68
NVDA,2000/9/1,3.129484,-1.82,7.17,0.51,1436.51
NVDA,2000/10/1,2.375184,-3.88,5.71,0.56,1429.4
NVDA,2000/11/1,1.54802,-3.41,12.3,0.51,1314.95
NVDA,2000/12/1,1.252391,0.73,7.61,0.5,1320.28
NVDA,2001/1/1,1.973249,6.68,-5.07,0.54,1366.01
NVDA,2001/2/1,1.708078,-0.78,12.47,0.38,1239.94
NVDA,2001/3/1,2.48149,0.25,6.42,0.42,1160.33
NVDA,2001/4/1,3.183953,0.55,-4.67,0.39,1249.46
NVDA,2001/5/1,3.272247,2.5,3.36,0.32,1255.82
NVDA,2001/6/1,3.545157,6.24,-1.12,0.28,1224.38
NVDA,2001/7/1,3.092219,-4.19,5.21,0.3,1211.23
NVDA,2001/8/1,3.237846,2.48,2.31,0.31,1133.58
NVDA,2001/9/1,2.099956,-6.23,1.45,0.28,1040.94
NVDA,2001/10/1,3.276452,7.48,-7.65,0.22,1059.78
NVDA,2001/11/1,4.176978,-0.47,2.21,0.17,1139.45
NVDA,2001/12/1,5.114201,4.74,0.84,0.15,1148.08
NVDA,2002/1/1,5.025523,1.19,3.44,0.14,1130.2
NVDA,2002/2/1,3.899481,-1.01,2.16,0.13,1106.73
NVDA,2002/3/1,3.39112,4.21,1.06,0.13,1147.39
NVDA,2002/4/1,2.661065,5.96,3.88,0.15,1076.92
NVDA,2002/5/1,2.557864,-3.21,1.53,0.14,1067.14
NVDA,2002/6/1,1.313333,4.29,-0.05,0.13,989.82
NVDA,2002/7/1,0.846251,-5.28,-3.85,0.15,911.62
NVDA,2002/8/1,0.772099,-2.86,3.28,0.14,916.07
NVDA,2002/9/1,0.654372,2.4,1.47,0.14,815.28
NVDA,2002/10/1,0.909701,-3.41,-3.95,0.14,885.76
NVDA,2002/11/1,1.30951,3.18,-1.23,0.12,936.31
NVDA,2002/12/1,0.879887,0.09,2.14,0.11,879.82
NVDA,2003/1/1,0.788917,1.33,-0.83,0.1,855.7
NVDA,2003/2/1,0.964742,-0.45,-1.39,0.09,841.15
NVDA,2003/3/1,0.984617,1.02,-1.93,0.1,848.18
NVDA,2003/4/1,1.095463,0.63,1.14,0.1,916.92
NVDA,2003/5/1,2.000576,4.67,0.4,0.09,963.59
NVDA,2003/6/1,1.751366,1.74,0.11,0.1,974.5
NVDA,2003/7/1,1.459343,5.06,-1.24,0.07,990.31
NVDA,2003/8/1,1.389014,2.59,1.53,0.07,1008.01
NVDA,2003/9/1,1.220833,0.8,0.16,0.08,995.97
NVDA,2003/10/1,1.351555,2.7,1.97,0.07,1050.71
NVDA,2003/11/1,1.622937,2.08,1.78,0.07,1058.2
NVDA,2003/12/1,1.773534,-2.68,1.6,0.08,1111.92
NVDA,2004/1/1,1.700911,2.55,2.49,0.07,1131.13
NVDA,2004/2/1,1.700911,-1.58,0.9,0.06,1144.94
NVDA,2004/3/1,2.01816,1.72,0.27,0.09,1126.21
NVDA,2004/4/1,1.56866,-1.68,-3.1,0.08,1107.3
NVDA,2004/5/1,1.792646,-0.2,-0.25,0.06,1120.68
NVDA,2004/6/1,1.564838,2.26,1.18,0.08,1140.84
NVDA,2004/7/1,1.178789,-3.81,3.24,0.1,1101.72
NVDA,2004/8/1,0.95251,-1.48,0.97,0.11,1104.24
NVDA,2004/9/1,1.109988,3.01,0,0.11,1114.58
NVDA,2004/10/1,1.106165,0.15,-0.22,0.11,1130.2
NVDA,2004/11/1,1.462401,3.74,1.41,0.15,1173.82
NVDA,2004/12/1,1.801054,-0.03,-0.22,0.16,1211.92
NVDA,2005/1/1,1.752129,-1.72,2.06,0.16,1181.27
NVDA,2005/2/1,2.216153,-0.57,1.54,0.16,1203.6
NVDA,2005/3/1,1.816344,-1.4,2.04,0.21,1180.59
NVDA,2005/4/1,1.676448,-3.94,0.07,0.21,1156.85
NVDA,2005/5/1,2.071671,2.89,-0.64,0.24,1191.5
NVDA,2005/6/1,2.042622,2.58,2.83,0.23,1191.33
NVDA,2005/7/1,2.068613,2.91,-0.79,0.24,1234.18
NVDA,2005/8/1,2.345347,-0.97,1.32,0.3,1220.33
NVDA,2005/9/1,2.620549,-0.65,0.71,0.29,1228.81
NVDA,2005/10/1,2.564744,-1.25,0.42,0.27,1207.01
NVDA,2005/11/1,2.763503,0.99,-1.16,0.31,1249.48
NVDA,2005/12/1,2.794846,-0.42,0.2,0.32,1248.29
NVDA,2006/1/1,3.436987,5.39,1.08,0.35,1280.08
NVDA,2006/2/1,3.602873,-0.38,-0.34,0.34,1280.66
NVDA,2006/3/1,4.377264,3.44,0.6,0.37,1294.87
NVDA,2006/4/1,4.467472,-1.42,2.34,0.36,1310.61
NVDA,2006/5/1,3.513432,-2.96,2.41,0.43,1270.09
NVDA,2006/6/1,3.255046,-0.39,0.85,0.4,1270.2
NVDA,2006/7/1,3.385005,-3.98,2.6,0.4,1276.66
NVDA,2006/8/1,4.450655,1.03,-2.06,0.42,1303.82
